Node,Degree,Betweenness,Closeness,Eigenvector,Harmonic
"('0016105000', 'Department of Geology and Geophysics')",0.025445292620865142,0.08087318897024458,0.09026182820395039,5.36798915847576e-07,0.14789480872811525
"('0013177010', 'Scripps Institution of Oceanography')",0.015267175572519085,0.025237575946409095,0.07849011384062313,7.782230284672768e-08,0.11865900753840558
"('0019489001', 'Natural History Museum')",0.017811704834605598,5.192916861401049e-06,0.10570199031737493,0.2497203425160112,0.16366642928160735
"('0015362010', 'Unknown Dept')",0.002544529262086514,0.0,0.08402822322001283,1.4275779877454108e-07,0.10617959612718172
"('0017756000', 'Crop Sciences')",0.012722646310432571,0.0,0.06607262945527909,3.895621778904129e-06,0.09939784164492031
"('0034140000', 'Oceanography')",0.002544529262086514,0.0,0.07261640798226164,4.4604653275981995e-08,0.09689048405843381
"('6250003906', 'Unknown Dept')",0.012722646310432571,0.0050890585241730275,0.07969985804096533,1.2089611559344919e-05,0.11322321216557243
"('0013219000', 'Department of Mechanical Engineering')",0.002544529262086514,0.0,0.07279125764030377,1.3251519857428555e-08,0.09885340663204345
"('0039172000', 'Department of Geology')",0.005089058524173028,0.0,0.0827194274889497,1.2702080681709893e-07,0.1181221508094597
"('0019489001', 'Chemical & Petroleum Engineering')",0.010178117048346057,0.0,0.09615855150477122,0.0582582598932836,0.13901361697724582
"('0027078000', 'Lamont Doherty Earth Observatory')",0.002544529262086514,0.0,0.11202964652223489,8.219405571693972e-05,0.14598220777586515
"('0026633000', 'Vice Provost for Research')",0.015267175572519085,0.002505582385626006,0.09625275532696546,0.1561946514081474,0.14147332859726286
"('0031237000', 'Geosciences')",0.002544529262086514,0.0,0.08921679909194098,1.0623745834374551e-07,0.1256725865058929
"('0026575000', 'College of Engineering')",0.010178117048346057,0.0,0.11293103448275862,0.09940295427013776,0.16801327944121
"('0013151000', 'Organismic Biology, Ecology & Evolution')",0.010178117048346057,0.0025380381160097624,0.08447979363714532,5.95449041081086e-07,0.12750221095287853
"('5300007293', 'Unknown Dept')",0.015267175572519085,0.31611881393778885,0.11815995189416717,2.4496444804676043e-05,0.17371890354809377
"('0017392000', 'Materials Science and Engineering')",0.010178117048346057,0.03014488238043309,0.08035166632590472,8.436091138346556e-06,0.1129319264307333
"('0016162000', 'Department of Geosciences')",0.010178117048346057,0.0,0.11251073575722874,0.0044667287319783856,0.15749517584680614
"('0029785000', 'Department of Biology')",0.010178117048346057,0.0,0.11263972484952708,0.004505004061679223,0.15897948458302327
"('4008181000', 'Science Unit -- WGBH')",0.0076335877862595426,0.0,0.10513643659711075,0.08312692903429242,0.15429407983292198
"('0025320000', 'Land Resources and Environmental Science')",0.010178117048346057,0.01015215246403905,0.07148053837759186,9.113902025551556e-09,0.09835250803954179
"('0019489001', 'Department of Physics and Astronomy')",0.020356234096692113,0.020239393467310587,0.09625275532696546,0.062181901174165305,0.14410267550141892
"('0027078040', 'Lamont-Doherty Earth Observatory')",0.015267175572519085,0.49052292672794306,0.12944664031620554,0.003991247915799923,0.189686020060551
"('0015362010', 'Rosenstiel School of Marine and')",0.010178117048346057,0.0,0.10746513535684987,4.980495788959512e-06,0.1503229340076948
"('0032102000', 'College of Oceanic & Atmos. Sciences')",0.005089058524173028,0.0,0.08782122905027932,7.978917502054963e-08,0.11066877820274126
"('0013177010', 'Inst. of Geophysics & Planetary Physics')",0.0076335877862595426,0.010165134756192552,0.07238902191932216,4.566744552107632e-09,0.09849596085475038
"('0011932000', 'Department of Geology')",0.015267175572519085,0.0,0.07515777395295467,0.00010575822242271661,0.11476620329612242
"('0017756000', 'Atmospheric Sciences')",0.002544529262086514,0.0,0.09939301972685888,2.481700720120141e-07,0.12449245482847868
"('0013136000', 'Natural Reserve System')",0.0076335877862595426,0.0,0.07475746623549553,1.1860545341375315e-05,0.10613903741704815
"('0022301000', 'Department of Geology & Geophysics')",0.017811704834605598,0.04697101486905162,0.09876853480774064,4.147277520056687e-07,0.1487014163307993
"('0027086000', 'Dept. of Environmental Science')",0.005089058524173028,0.0,0.11651348947524459,0.00010076152992518783,0.15368500822675715
"('0032102000', 'College of Oceanic & Atmospheric Sci.')",0.005089058524173028,0.0,0.08782122905027932,7.978917502054963e-08,0.11066877820274126
"('0011312000', 'Div. of Geological & Planetary Sci.')",0.005089058524173028,0.0,0.08315700380871772,3.297344342116945e-08,0.11205328329021041
"('4062600000', 'Unidata Program Center')",0.002544529262086514,0.0,0.09939301972685888,2.481700720120141e-07,0.12449245482847868
"('0013201000', 'Inst. for Computational Earth Sys. Sci.')",0.002544529262086514,0.0,0.07470062725717544,7.798034283667585e-06,0.10274633173426596
"('0019489001', 'Physics and Astronomy')",0.0076335877862595426,0.0,0.08786049631120053,0.009769884995189318,0.11876671786746744
