Node,Degree,Betweenness,Closeness,Eigenvector,Harmonic
"('0010835000', 'Geosciences')",0.020080321285140562,0.06244332167379194,0.12556732223903178,0.0036279507766342227,0.16330750909064184
"('0010819000', 'Dept. of Geography & Off. of Climatology')",0.01606425702811245,0.0,0.14856801909307876,0.002074179471585184,0.1840009388202161
"('0001057000', 'Math Sciences')",0.01606425702811245,0.0,0.14147727272727273,0.00742751004778021,0.17127775169943874
"('0011452001', 'Department of Computer Science')",0.028112449799196783,0.023902059852312474,0.16126943005181346,0.04799339059047276,0.20703709498890252
"('0019505000', 'Dept. of Biological Sciences')",0.012048192771084336,0.0,0.11160914388166741,7.339276232289469e-06,0.14461009762214594
"('0026633000', 'Biology Department')",0.012048192771084336,0.015999481798160384,0.13174603174603175,0.00030721045223819506,0.1610694637803074
"('0037986000', 'School of Forest Resources')",0.024096385542168672,0.015999481798160384,0.1767210787792761,0.014529184045039082,0.21208006629693413
"('0037986000', 'Applied Physics Lab, University of Wash.')",0.004016064257028112,0.0,0.13703907539900936,9.536312700900108e-05,0.16196409569903558
"('0013508000', 'Civil/Mechanical')",0.012048192771084336,0.0,0.10306291390728477,2.581961556226475e-05,0.12409416776886653
"('0001057000', 'Statistics')",0.01606425702811245,0.0,0.14147727272727273,0.00742751004778021,0.17127775169943874
"('0027854000', 'Wagner Graduate School of Public Service')",0.01606425702811245,0.0,0.10130187144019528,4.190344397724425e-06,0.1332344083850108
"('0037986000', 'Department of Astronomy')",0.01606425702811245,0.14211685451483352,0.19793322734499205,0.033902327781658394,0.24058615414037143
"('4038543000', 'The Lunar and Planetary Institute')",0.012048192771084336,0.0,0.11706629055007052,6.142753051026314e-05,0.1411900237201443
"('0037986000', 'iSchool')",0.008032128514056224,0.0,0.1145881270133456,0.00011229131860200127,0.13853591745158017
"('0020537000', 'School of Biology and Ecology')",0.020080321285140562,0.01586993133825625,0.1763456090651558,0.007257978947864963,0.22868052295763175
"('0014266000', 'Earth & Planet. Sci, Math & Physics')",0.0321285140562249,0.07740639979271927,0.1258211217786761,4.597912579337324e-05,0.1802520438062611
"('0021030000', 'National Socio-Environmental Synthesis C')",0.012048192771084336,0.0,0.17054794520547945,0.006170443111767278,0.2100727585667349
"('0030908000', 'Computer and Information Science')",0.040160642570281124,0.07818370255214406,0.1760961810466761,0.04332739750779577,0.2283977178555494
"('0010835000', 'Dept.  of Ecology and Evol. Biology')",0.012048192771084336,0.0,0.12506278252134606,0.0034490855166342716,0.15561005259800462
"('0001057000', 'Department of Statistics')",0.024096385542168672,0.0317398626765125,0.16435643564356436,0.027761611001224904,0.2088251997890556
"('0010835000', 'Department of Geosciences')",0.028112449799196783,0.0474640497473766,0.11226330027051398,0.0007362871277732145,0.14945954313424206
"('0033290000', 'Energy Institute')",0.01606425702811245,0.008032128514056224,0.16869918699186992,0.0049602323981589105,0.2043833342026117
"('0018408000', 'Physics')",0.008032128514056224,0.0,0.12481203007518797,2.4973742248098748e-05,0.1631837707138915
"('0001057000', 'Department of Psychology')",0.024096385542168672,0.010590750097162906,0.1290824261275272,0.0017082132866782173,0.1698220231352764
"('6250014015', 'Education Office')",0.012048192771084336,0.0,0.11155913978494623,6.907915099378791e-06,0.1439407535793079
"('0038000000', 'Department of Physics/Astronomy')",0.008032128514056224,0.0,0.19498825371965545,0.032436111319555226,0.23007745266781454
"('0037986000', 'Landscape Architecture')",0.01606425702811245,0.0,0.17647058823529413,0.013874479776386539,0.20806400203990597
