Node,Degree,Betweenness,Closeness,Eigenvector,Harmonic
"('6250002969', 'Mathematics')",7.296074711805048e-05,0.0,0.12342743932639921,6.7930146659732054e-06,0.12864170623545082
"('0029744000', 'Department of Mathematics')",0.0004377644827083029,0.00047123506552132537,0.1408054242860078,0.00010094279552109328,0.1489298363568746
"('0011379000', 'Department of Chemistry & Biochemistry')",0.00029184298847220193,0.0004436046389338897,0.1331778652285867,3.392494552552406e-05,0.1399873725023239
"('0011395000', 'Department of Chemistry and Biochemistry')",0.0006566467240624544,0.0009348880533457752,0.1352596934797841,1.2490201016672006e-05,0.14247009070990835
"('0021303000', 'BU Wheelock College of Education & Human')",7.296074711805048e-05,0.0,0.0933822978340703,2.1163454044830378e-08,0.09609981438659154
"('4012365000', 'Education Research Collaborative')",0.0003648037355902524,0.0026240634818657273,0.10299996994018096,3.142794196532864e-07,0.10692377987287216
"('0028829000', 'Civil and Environmental Engineering')",7.296074711805048e-05,0.0,0.11440352575873927,4.959331458478097e-07,0.11899314458502606
"('0028829000', 'Civil & Environmental Engineering')",0.0005107252298263533,0.00043773254075407393,0.12918123639242593,7.310780119558953e-06,0.1361835687295264
"('0019992001', 'Antatomical Sciences and Neurobiology')",0.00029184298847220193,0.0,0.1302665969681129,4.886883731817216e-05,0.1367389780639386
"('0019992001', 'Anatomical Sciences and Neurobiology')",0.0004377644827083029,0.0006130991916775654,0.14029089941349274,0.000132025038672691,0.14837345275474434
"('0019992000', 'Department of Biochemistry')",0.0003648037355902524,0.00014592149423610097,0.13026783507898188,4.9076229001020596e-05,0.1367754584374976
"('0019992001', 'Anatomical Sciences & Neurobiology')",0.00029184298847220193,0.0,0.1302665969681129,4.886883731817216e-05,0.1367389780639386
"('0019992001', 'Unknown Dept')",0.0010214504596527067,0.0014576393823370413,0.14349278138970026,0.000498051446611816,0.15290505131815577
"('0027110001', 'Department of Natural Resources')",0.0007296074711805048,0.002851779236022104,0.14583333333333334,4.619196258227138e-05,0.15635610052836182
