Node,Degree,Betweenness,Closeness,Eigenvector,Harmonic
"('0038950000', 'Unknown Dept')",0.009862385321100918,0.06377551047389585,0.16123664065678045,0.00012094131488368193,0.1855346450185887
"('0013144000', 'Electrical Engineering and Computer Sci')",0.0009174311926605505,0.0,0.14103642362683574,1.6065417821726642e-05,0.1550936162461386
"('0037457000', 'Department of Electrical Engineering')",0.001834862385321101,0.007830123867947191,0.14741184028129967,3.4323278435719213e-05,0.16336809342543154
"('6250041879', 'Unknown Dept')",0.0013761467889908258,0.0,0.14103642362683574,1.7428355138006964e-05,0.15509361624613857
"('0026633000', 'Electrical and Computer Engineering')",0.0022935779816513763,0.0032072207454365217,0.14106836638949105,1.7041866247544976e-05,0.1558199159403281
"('P269993465', 'Unknown Dept')",0.0006880733944954129,0.0,0.1352525127186996,0.021034011021114837,0.14840728397494404
"('0010819000', 'School of Life Sciences')",0.007568807339449542,0.010814555720496404,0.14816828654931014,0.2092123058951295,0.17040064929973095
"('0027854000', 'Anthropology')",0.0009174311926605505,0.00420045481671258,0.14456712755727974,0.021260590743149815,0.16048314962305701
"('4202859000', 'Psychology')",0.0006880733944954129,0.0,0.1352525127186996,0.021034011021114837,0.14840728397494404
"('0027078000', 'Lamont-Doherty Earth Observatory')",0.0038990825688073397,0.02085572785309813,0.1495968433693601,0.00052253623950334,0.168272628556458
"('0013128000', 'Vice Chancellor for Research Office')",0.0016055045871559634,0.001833599575695966,0.14097258147956543,0.000356512166164194,0.15524032456270676
"('0010835000', 'Bio5/iPlant Collaborative')",0.0009174311926605505,0.0,0.14095435148066726,0.0003481943903596626,0.15485806156576493
"('6250002636', 'Unknown Dept')",0.0009174311926605505,0.0,0.14095435148066726,0.0003481943903596626,0.1548580615657649
"('0027854000', 'Unknown Dept')",0.006192660550458716,0.030563105552947355,0.15845326355574937,0.0029353707178682493,0.17942796404665573
"('0023259000', 'Center for Political Studies')",0.00045871559633027525,0.00045871559633027525,0.12535219366338912,5.441092043541191e-05,0.13453537902404572
