Node,Degree,Betweenness,Closeness,Eigenvector,Harmonic
"('0031708000', 'Unknown Dept')",0.0017194295539597452,0.00326082725523522,0.20841941059909777,0.005183689415062464,0.2207493376452304
"('5300004777', 'Department of Chemistry')",0.0003540002022858299,0.0,0.19093876132172033,0.002112596523883398,0.20015525224129016
"('0019505000', 'Industrial & Manufacturing Engineering')",0.0008091433195104683,0.0004591682747542683,0.19460108450690364,0.0026342763892961366,0.20452298058747448
"('0019281000', 'Computer Science')",0.0011631435217962982,0.0014845802893103653,0.19794982681642542,0.0033095255481212344,0.20900680801051524
"('4002168000', 'Department of Computational Biomedicine')",0.00045514311722463845,0.00024984436426107106,0.19104944831983922,0.0021252189785730645,0.20035157786368027
"('5300011474', 'Unknown Dept')",0.0017194295539597452,0.006505020895899414,0.22917342728663484,0.02222050168952469,0.24528234708772298
"('0019505000', 'Mathematics, Statistics, and Physics')",0.00045514311722463845,0.00012530535735358464,0.19278729440669207,0.002315544603958713,0.20222424696098754
"('0010900000', 'Engineering')",0.0007585718620410641,0.0012688097313292314,0.19212234269946757,0.00218450914259317,0.20176663547500542
"('0010819000', 'Sch. Eng. of Matter, Transport & Energy')",0.0007080004045716598,0.00046825054479052955,0.20860850300664627,0.03601067139342101,0.22081306643860235
"('0010819000', 'Physics')",0.000556286032163447,0.00046861144016171536,0.21902240731920739,0.03708099074114857,0.23244034757256338
"('0010819000', 'Unknown Dept')",0.01244057853747345,0.06208095083371855,0.25835532676578954,0.44576724372788956,0.28452754400334274
"('0032235000', 'Geological Sciences')",0.0008091433195104683,0.000693592744429198,0.19610448856536486,0.002314666662296368,0.20672386933382705
"('0032235000', 'Environmental Studies & Geography')",0.00040457165975523417,3.425946382269412e-05,0.1839544532718105,0.0011165716930900457,0.1923899885275597
"('0096354000', 'Global and Sociocultural Studies')",0.0003034287448164256,4.456754930637472e-06,0.18983708226529575,0.0020786747519442473,0.19859456087327487
"('0096354000', 'Counseling, Recreation, School Psycholog')",0.0001517143724082128,0.0,0.18919229223674391,0.0015137740107173947,0.19768692361993148
"('0096354000', 'English')",0.0001517143724082128,0.0,0.18919229223674391,0.0015137740107173947,0.19768692361993148
"('0096354000', 'Unknown Dept')",0.0028825730757560436,0.011623296251534451,0.23332704016613962,0.02506178736190657,0.25050812456367727
"('0014456000', 'Physics')",0.00040457165975523417,0.00028172127687610225,0.20046430997252665,0.004214789562423547,0.21047294930547297
"('0014456000', 'Department of Physics')",0.00020228582987761708,0.00016092509167862083,0.1794862485250068,0.0004720588356056688,0.18695331603313803
"('0013219000', 'physics')",5.057145746940427e-05,0.0,0.1702336472735412,0.0003234916267518394,0.1767360992176196
"('0013219000', 'Unknown Dept')",0.0017194295539597452,0.0035208721600614823,0.20515640400477253,0.0061250323395027895,0.2174035541007002
"('0015693000', 'Unknown Dept')",0.006776575300900172,0.04084874916495998,0.2562959314608635,0.12495955116277534,0.2802428426062742
"('0021030000', 'Department of Computer Science')",0.0008597147769798726,0.001134966149676665,0.2170939232584948,0.012591760997959198,0.23022379256446482
"('0015693000', 'Biomedical Engineering')",0.001314857894204511,0.002337047670590532,0.22749393127092418,0.02016449764318106,0.24303174209108705
"('5300004339', 'Unknown Dept')",0.0012642864367351067,0.0026872082941491716,0.22119310491403515,0.012045810074000306,0.23475899416652313
"('0028829000', 'Academic Affairs')",0.0003540002022858299,0.0004045102773155808,0.18807125669339267,0.001076926979619325,0.19624995493809633
"('0014480000', 'Department of Mechanical Engineering')",0.000556286032163447,0.0004808942817332873,0.2049140405600058,0.0036887850912334544,0.21567938119214322
