Year,Funding Amount,Category,Era,Grants
1995,2811573539.0,Total Funding,Historic,9972
1996,2632145141.0,Total Funding,Historic,9537
1997,3797965979.0,Total Funding,Historic,10301
1998,3766920185.0,Total Funding,Historic,9800
1999,3155199966.0,Total Funding,Historic,9671
2000,5849349272.0,Total Funding,Historic,10314
Historic,22013154082.0,Total Funding,Historic,59595
2020,7360434511.0,Total Funding,Modern,13041
2021,7750984416.0,Total Funding,Modern,12166
2022,6693261869.0,Total Funding,Modern,11912
2023,6515846353.0,Total Funding,Modern,12022
2024,5369846263.0,Total Funding,Modern,11687
2025,422797630.0,Total Funding,Modern,1178
Modern,34113171042.0,Total Funding,Modern,62006
1995,1520576443.0,Collaboration Funding,Historic,3164
1996,1019673892.0,Collaboration Funding,Historic,2960
1997,1255012565.0,Collaboration Funding,Historic,3223
1998,2320836283.0,Collaboration Funding,Historic,3182
1999,1587570650.0,Collaboration Funding,Historic,3225
2000,2359575333.0,Collaboration Funding,Historic,3637
Historic,10063245166.0,Collaboration Funding,Historic,19391
2020,4363830941.0,Collaboration Funding,Modern,5217
2021,4568100907.0,Collaboration Funding,Modern,4766
2022,3760177547.0,Collaboration Funding,Modern,4486
2023,3892076415.0,Collaboration Funding,Modern,4315
2024,3025160102.0,Collaboration Funding,Modern,4163
2025,164845003.0,Collaboration Funding,Modern,299
Modern,19774190915.0,Collaboration Funding,Modern,23246
