graph,num_nodes,num_edges,avg_degree,density,clustering_coeff,num_components,diameter,radius,avg_shortest_path_length,avg_degree_centrality,max_degree_centrality,avg_betweenness_centrality,max_betweenness_centrality,avg_closeness_centrality,max_closeness_centrality
modern_2022,8110,13287,3.276695437731196,0.00040408132170812627,0.5910921469094601,1331,,,,0.0004040813217081263,0.009125662843753855,0.00020723813834021875,0.030527111255214387,0.024810718851844552,0.08068206929475615
modern_2022_no_self_loops,8110,12517,3.086806411837238,0.0003806642510589762,0.5910921469094601,1331,,,,0.0003806642510589762,0.008879023307436182,0.00020723813834021875,0.030527111255214387,0.024810718851844552,0.08068206929475615
modern_2025,659,735,2.230652503793627,0.0033900493978626547,0.5288315629742033,235,,,,0.0033900493978626543,0.0121580547112462,5.405601707108675e-07,6.476893681790213e-05,0.0032656661454323935,0.010638297872340425
modern_2025_no_self_loops,659,682,2.069802731411229,0.0031455968562480686,0.5288315629742033,235,,,,0.003145596856248068,0.010638297872340425,5.405601707108675e-07,6.476893681790213e-05,0.0032656661454323935,0.010638297872340425
modern_2024,7320,11197,3.0592896174863387,0.00041799284294115845,0.5661410842184162,1283,,,,0.00041799284294115845,0.00655827298811313,0.00024802507256495765,0.04239856269652159,0.019054255014382297,0.06707465779488263
modern_2024_no_self_loops,7320,10564,2.8863387978142074,0.0003943624535884967,0.5661410842184162,1283,,,,0.0003943624535884968,0.006285011613608417,0.00024802507256495765,0.04239856269652159,0.019054255014382297,0.06707465779488263
modern_2023,7524,12010,3.1924508240297715,0.00042435874305858987,0.5728406251782915,1240,,,,0.0004243587430585898,0.0073109131995214675,0.00023194534946538968,0.041891872875002276,0.02711974951698191,0.08612062710106028
modern_2023_no_self_loops,7524,11318,3.0085061137692715,0.00039990776469085097,0.5728406251782915,1240,,,,0.0003999077646908509,0.007045061810447959,0.00023194534946538968,0.041891872875002276,0.02711974951698191,0.08612062710106028
modern_2021,8370,14269,3.409557945041816,0.00040740326742045837,0.5828899293664859,1268,,,,0.0004074032674204583,0.010634484406739156,0.00023999741068341817,0.049842452280751355,0.03332004709237835,0.10034592147059603
modern_2021_no_self_loops,8370,13495,3.2246117084826764,0.00038530430260278126,0.5828899293664859,1268,,,,0.0003853043026027812,0.010395507229059624,0.00023999741068341817,0.049842452280751355,0.03332004709237835,0.10034592147059603
modern_2020,8742,14521,3.32212308396248,0.0003800621306443748,0.5540476789315992,1362,,,,0.0003800621306443748,0.008809060748198146,0.00021492886660748898,0.026017222001356376,0.03147874730547344,0.09170841195286994
modern_2020_no_self_loops,8742,13657,3.1244566460764127,0.0003574484207843968,0.5540476789315992,1362,,,,0.00035744842078439687,0.008580253975517677,0.00021492886660748898,0.026017222001356376,0.03147874730547344,0.09170841195286994
