graph,num_nodes,num_edges,avg_degree,density,clustering_coeff,num_components,diameter,radius,avg_shortest_path_length,avg_degree_centrality,max_degree_centrality,avg_betweenness_centrality,max_betweenness_centrality,avg_closeness_centrality,max_closeness_centrality
modern_2022,3742,7857,4.199358631747728,0.001122523023722996,0.6390759418360729,1,26.0,14.0,8.892310795865537,0.001122523023722996,0.019780807270783213,0.0021102435283062923,0.14345227480902242,0.11567616306108926,0.17488663456593895
modern_2022_no_self_loops,3742,7481,3.998396579369321,0.0010688042179549109,0.6390759418360729,1,26.0,14.0,8.892310795865537,0.0010688042179549107,0.019246190858059342,0.0021102435283062923,0.14345227480902242,0.11567616306108926,0.17488663456593895
modern_2025,8,15,3.75,0.5357142857142857,0.7916666666666666,1,2.0,1.0,1.5,0.5357142857142857,1.0,0.08333333333333333,0.6666666666666666,0.6881410256410256,1.0
modern_2025_no_self_loops,8,14,3.5,0.5,0.7916666666666666,1,2.0,1.0,1.5,0.5,1.0,0.08333333333333333,0.6666666666666666,0.6881410256410256,1.0
modern_2024,3205,6389,3.9868954758190327,0.0012443493994441425,0.6305278073102832,1,30.0,16.0,10.468673908005009,0.0012443493994441425,0.0149812734082397,0.0029561891689057172,0.22128187390940915,0.09834777109581232,0.15322079288412796
modern_2024_no_self_loops,3205,6077,3.7921996879875195,0.0011835829238412982,0.6305278073102832,1,30.0,16.0,10.468673908005009,0.0011835829238412982,0.01435705368289638,0.0029561891689057172,0.22128187390940915,0.09834777109581232,0.15322079288412796
modern_2023,3583,7371,4.1144292492324865,0.0011486402147494379,0.631161797248485,1,25.0,13.0,8.693344384963238,0.0011486402147494379,0.015354550530429927,0.0021483787726789276,0.18480948862980218,0.11876116869839734,0.18087255099979802
modern_2023_no_self_loops,3583,7017,3.9168294725090704,0.0010934755646312313,0.631161797248485,1,25.0,13.0,8.693344384963238,0.0010934755646312313,0.014796203238414294,0.0021483787726789276,0.18480948862980218,0.11876116869839734,0.18087255099979802
modern_2021,4361,9443,4.330658105939005,0.0009932702077841754,0.6403533450608357,1,24.0,12.0,8.39806363324631,0.0009932702077841754,0.02041284403669725,0.0016971928500220947,0.18366283461274388,0.12218992171129028,0.19261353596041703
modern_2021_no_self_loops,4361,9010,4.13207979821142,0.0009477247243604173,0.6403533450608357,1,24.0,12.0,8.39806363324631,0.0009477247243604174,0.019954128440366974,0.0016971928500220947,0.18366283461274388,0.12218992171129028,0.19261353596041703
modern_2020,4419,9287,4.203213396696085,0.0009513837475545688,0.6036939148016839,1,23.0,12.0,8.35168417050903,0.0009513837475545689,0.017428700769578996,0.0016644066494247293,0.1018545336878033,0.12260062033075698,0.18144482319602448
modern_2020_no_self_loops,4419,8823,3.9932111337406653,0.0009038504150612642,0.6036939148016839,1,23.0,12.0,8.35168417050903,0.0009038504150612642,0.016976007243096423,0.0016644066494247293,0.1018545336878033,0.12260062033075698,0.18144482319602448
historic_1995,109,202,3.706422018348624,0.03431872239211689,0.6693888680127212,1,15.0,8.0,5.126061841658172,0.034318722392116884,0.38888888888888884,0.038561325622973576,0.6178608515057114,0.20585830951015774,0.31213872832369943
historic_1995_no_self_loops,109,192,3.522935779816514,0.0326197757390418,0.6693888680127212,1,15.0,8.0,5.126061841658172,0.03261977573904179,0.37037037037037035,0.038561325622973576,0.6178608515057114,0.20585830951015774,0.31213872832369943
historic_2000,1212,2318,3.825082508250825,0.0031586147879858178,0.5986207452793948,1,32.0,16.0,12.367011143723786,0.0031586147879858178,0.033856317093311314,0.00939422408572214,0.7070212910342305,0.08436341522291164,0.14053614947197401
historic_2000_no_self_loops,1212,2196,3.623762376237624,0.0029923719044076167,0.5986207452793948,1,32.0,16.0,12.367011143723786,0.0029923719044076163,0.033856317093311314,0.00939422408572214,0.7070212910342305,0.08436341522291164,0.14053614947197401
historic_1997,108,213,3.9444444444444446,0.03686396677050883,0.5597939714606381,1,12.0,6.0,4.843544479058497,0.03686396677050882,0.2523364485981308,0.036259853576023564,0.8296596720155175,0.21894159233439453,0.37282229965156793
historic_1997_no_self_loops,108,201,3.7222222222222223,0.0347871235721703,0.5597939714606381,1,12.0,6.0,4.843544479058497,0.0347871235721703,0.23364485981308408,0.036259853576023564,0.8296596720155175,0.21894159233439453,0.37282229965156793
historic_1999,250,500,4.0,0.01606425702811245,0.6467693234869705,1,16.0,8.0,7.165911646586346,0.01606425702811245,0.07630522088353413,0.024862546962041716,0.6011141339551755,0.14560901422764397,0.23736892278360344
historic_1999_no_self_loops,250,467,3.736,0.015004016064257029,0.6467693234869705,1,16.0,8.0,7.165911646586346,0.015004016064257027,0.0682730923694779,0.024862546962041716,0.6011141339551755,0.14560901422764397,0.23736892278360344
historic_1998,394,735,3.730964467005076,0.00949354826209943,0.570716352334782,1,32.0,16.0,12.16576897740923,0.009493548262099432,0.08651399491094149,0.028484104534207216,0.5288077062886223,0.08651049132595393,0.1317907444668008
historic_1998_no_self_loops,394,701,3.5583756345177666,0.009054390927526123,0.570716352334782,1,32.0,16.0,12.16576897740923,0.009054390927526124,0.08142493638676845,0.028484104534207216,0.5288077062886223,0.08651049132595393,0.1317907444668008
historic_1996,144,256,3.5555555555555554,0.024864024864024864,0.4832811478644812,1,18.0,9.0,7.2697163947163945,0.024864024864024864,0.23076923076923078,0.04415293235715771,0.6446370530877573,0.14170697929069162,0.20967741935483872
historic_1996_no_self_loops,144,246,3.4166666666666665,0.023892773892773892,0.4832811478644812,1,18.0,9.0,7.2697163947163945,0.023892773892773896,0.23076923076923078,0.04415293235715771,0.6446370530877573,0.14170697929069162,0.20967741935483872
modern_full,24347,58767,4.827453074300736,0.00019828526551797976,0.5424596906394514,1610,,,,0.00019828526551797978,0.010186478271584655,0.00013216023359115644,0.0409532204884774,0.11447995754777023,0.21323138638705694
historic_full,20761,37712,3.6329656567602715,0.00017499834570136184,0.4737677989734058,2521,,,,0.00017499834570136184,0.008140655105973026,0.0001451393249425021,0.063775659816656,0.05642806809633682,0.13217933263066392
modern_full_no_self_loops,24347,55996,4.599827494147123,0.0001889356565409974,0.5424596906394514,1610,,,,0.0001889356565409974,0.010104329253265425,0.00013216023359115644,0.0409532204884774,0.11447995754777023,0.21323138638705694
historic_full_no_self_loops,20761,35568,3.4264245460237945,0.00016504935192792846,0.4737677989734058,2521,,,,0.00016504935192792846,0.008044315992292871,0.0001451393249425021,0.063775659816656,0.05642806809633682,0.13217933263066392
