zip_digit_A,zip_digit_B,frequency
0,0,463
0,1,365
0,2,237
0,3,156
0,4,170
0,5,101
0,6,135
0,7,85
0,8,124
0,9,355
1,0,365
1,1,494
1,2,299
1,3,188
1,4,202
1,5,89
1,6,164
1,7,150
1,8,167
1,9,338
2,0,237
2,1,299
2,2,345
2,3,189
2,4,186
2,5,103
2,6,136
2,7,166
2,8,179
2,9,269
3,0,156
3,1,188
3,2,189
3,3,266
3,4,171
3,5,67
3,6,104
3,7,168
3,8,89
3,9,167
4,0,170
4,1,202
4,2,186
4,3,171
4,4,270
4,5,96
4,6,146
4,7,130
4,8,129
4,9,182
5,0,101
5,1,89
5,2,103
5,3,67
5,4,96
5,5,148
5,6,94
5,7,46
5,8,84
5,9,148
6,0,135
6,1,164
6,2,136
6,3,104
6,4,146
6,5,94
6,6,145
6,7,104
6,8,130
6,9,188
7,0,85
7,1,150
7,2,166
7,3,168
7,4,130
7,5,46
7,6,104
7,7,201
7,8,133
7,9,147
8,0,124
8,1,167
8,2,179
8,3,89
8,4,129
8,5,84
8,6,130
8,7,133
8,8,219
8,9,308
9,0,355
9,1,338
9,2,269
9,3,167
9,4,182
9,5,148
9,6,188
9,7,147
9,8,308
9,9,649
