zip_digit_A,zip_digit_B,frequency
0,0,550
0,1,430
0,2,372
0,3,229
0,4,258
0,5,121
0,6,151
0,7,169
0,8,236
0,9,422
1,0,430
1,1,550
1,2,383
1,3,227
1,4,314
1,5,118
1,6,190
1,7,197
1,8,226
1,9,343
2,0,372
2,1,383
2,2,622
2,3,412
2,4,329
2,5,171
2,6,203
2,7,251
2,8,282
2,9,424
3,0,229
3,1,227
3,2,412
3,3,565
3,4,238
3,5,146
3,6,186
3,7,228
3,8,243
3,9,293
4,0,258
4,1,314
4,2,329
4,3,238
4,4,359
4,5,152
4,6,205
4,7,181
4,8,235
4,9,279
5,0,121
5,1,118
5,2,171
5,3,146
5,4,152
5,5,158
5,6,156
5,7,118
5,8,127
5,9,162
6,0,151
6,1,190
6,2,203
6,3,186
6,4,205
6,5,156
6,6,309
6,7,163
6,8,150
6,9,238
7,0,169
7,1,197
7,2,251
7,3,228
7,4,181
7,5,118
7,6,163
7,7,570
7,8,211
7,9,293
8,0,236
8,1,226
8,2,282
8,3,243
8,4,235
8,5,127
8,6,150
8,7,211
8,8,412
8,9,411
9,0,422
9,1,343
9,2,424
9,3,293
9,4,279
9,5,162
9,6,238
9,7,293
9,8,411
9,9,874
